#{"t_start": 1731492024.067815, "env_id": "None"}
r,l,t
-1000.0,1,1.449329
-1000.0,1,1.450417
-1000.0,1,1.451349
-1000.0,1,1.452235
-1000.0,1,1.452978
-1000.0,1,1.453626
-1000.0,1,1.454228
-1000.0,1,1.454829
-1000.0,1,1.455581
-1000.0,1,1.456334
-1000.0,1,1.457041
-1000.0,1,1.457668
-1000.0,1,1.458263
-1000.0,1,1.458867
-1000.0,1,1.459466
-1000.0,1,1.460082
-1000.0,1,1.460718
-1000.0,1,1.461465
-1000.0,1,1.462181
-1000.0,1,1.462831
-1000.0,1,1.463498
-1000.0,1,1.464223
-1000.0,1,1.465087
-1000.0,1,1.465805
-1000.0,1,1.46652
-1000.0,1,1.467364
-1000.0,1,1.468167
-1000.0,1,1.468924
-1000.0,1,1.469632
-1000.0,1,1.470337
-1000.0,1,1.471035
-1000.0,1,1.471871
-1000.0,1,1.472702
-1000.0,1,1.473705
-1000.0,1,1.474487
-1000.0,1,1.475229
-1000.0,1,1.475951
-1000.0,1,1.476597
-1000.0,1,1.477264
-1000.0,1,1.478359
-1000.0,1,1.479884
-1000.0,1,1.481171
-1000.0,1,1.482348
-1000.0,1,1.483467
-1000.0,1,1.484442
-1000.0,1,1.485504
-1000.0,1,1.48711
-1000.0,1,1.488769
-1000.0,1,1.490603
-1000.0,1,1.492654
-1000.0,1,1.494402
-1000.0,1,1.495742
-1000.0,1,1.497047
-1000.0,1,1.498241
-1000.0,1,1.499825
-1000.0,1,1.501747
-1000.0,1,1.503906
-1000.0,1,1.50593
-1000.0,1,1.508081
-1000.0,1,1.510638
-1000.0,1,1.512947
-1000.0,1,1.514544
-1000.0,1,1.51609
-1000.0,1,1.51767
-1000.0,1,1.519372
-1000.0,1,1.521067
-1000.0,1,1.523367
-1000.0,1,1.524983
-1000.0,1,1.526474
-1000.0,1,1.527889
-1000.0,1,1.529261
-1000.0,1,1.530735
-1000.0,1,1.532298
-1000.0,1,1.533903
-1000.0,1,1.535575
-1000.0,1,1.537204
-1000.0,1,1.539241
-1000.0,1,1.541047
-1000.0,1,1.54279
-1000.0,1,1.544128
-1000.0,1,1.54601
-1000.0,1,1.548463
-1000.0,1,1.550645
-1000.0,1,1.552075
-1000.0,1,1.553551
-1000.0,1,1.555022
-1000.0,1,1.556609
-1000.0,1,1.557882
-1000.0,1,1.559568
-1000.0,1,1.560987
-1000.0,1,1.562324
-1000.0,1,1.563625
-1000.0,1,1.564951
-1000.0,1,1.566223
-1000.0,1,1.567459
-1000.0,1,1.568854
-1000.0,1,1.570333
-1000.0,1,1.572061
