#{"t_start": 1730710221.010298, "env_id": "None"}
r,l,t
-98.285612,100,1.347569
-98.106224,100,1.39555
-97.438891,100,1.435987
-97.902317,100,1.476585
-97.401817,100,1.515912
-97.645691,100,1.555554
-97.469129,100,1.595312
-99.291429,100,1.634463
-98.610469,100,1.673401
-99.508452,100,1.71598
-97.38328,100,1.745941
-97.38328,100,1.777666
-97.38328,100,1.807961
-97.38328,100,1.837279
-97.38328,100,1.867121
-98.529485,100,1.940436
-97.754021,100,1.994971
-98.365742,100,2.040233
-97.494502,100,2.080733
-99.015061,100,2.12043
-99.107427,100,2.161116
-97.968576,100,2.201781
-98.62526,100,2.242631
-98.919682,100,2.293137
-97.846706,100,2.355763
-97.38328,100,2.395884
-97.38328,100,2.433371
-97.38328,100,2.471143
-97.38328,100,2.510308
-97.38328,100,2.549026
-98.148096,100,3.721116
-98.050613,100,3.765369
-98.309999,100,3.806543
-98.636829,100,3.846676
-98.682934,100,3.887863
-97.609603,100,3.927506
-98.592053,100,3.967356
-98.06915,100,4.006592
-98.017351,100,4.046018
-99.088436,100,4.08569
-97.38328,100,4.115621
-97.38328,100,4.145395
-97.38328,100,4.175454
-97.38328,100,4.205737
-97.38328,100,4.236197
-98.675809,100,4.286638
-98.969644,100,4.327618
-98.601727,100,4.367609
-99.445428,100,4.407212
-99.383041,100,4.447431
-98.050613,100,4.488828
-98.48071,100,4.528764
-99.484153,100,4.568653
-98.032996,100,4.608773
-99.495751,100,4.647455
-97.38328,100,4.677726
-97.38328,100,4.707728
-97.38328,100,4.737366
-97.38328,100,4.771395
-97.38328,100,4.802294
-97.494502,100,5.797483
-99.28411,100,5.839927
-98.792093,100,5.881827
-97.809632,100,5.922779
-98.19102,100,5.961594
-99.248832,100,6.001276
-97.457428,100,6.041131
-97.804701,100,6.080616
-97.679873,100,6.120527
-98.899198,100,6.177775
-98.514038,100,6.21563
-98.62526,100,6.246146
-98.551112,100,6.287354
-98.495501,100,6.323784
-98.458427,100,6.362855
-99.172114,100,6.443455
-98.032076,100,6.506282
-97.630112,100,6.548232
-98.078812,100,6.589604
-98.170577,100,6.62975
-98.122789,100,6.669935
-97.679873,100,6.709342
-97.765721,100,6.754149
-98.961246,100,6.79709
-98.845908,100,6.837729
-98.532575,100,6.869152
-98.551112,100,6.900002
-98.551112,100,6.930262
-98.606723,100,6.960494
-98.43989,100,6.997913
-97.38328,100,7.049471
-98.044949,100,8.034195
-97.578379,100,8.076093
-98.194792,100,8.116725
-97.602766,100,8.156493
-97.982249,100,8.197995
-98.242394,100,8.238628
-99.304967,100,8.282691
-99.380028,100,8.325166
-98.141663,100,8.368748
-98.858781,100,8.40209
-98.878092,100,8.435915
-98.821707,100,8.469976
-98.858008,100,8.505022
-98.846681,100,8.540046
-99.101309,100,8.600035
-97.679873,100,8.654555
-97.920854,100,8.706789
-98.717945,100,8.757543
-99.375772,100,8.808424
-98.834332,100,8.860483
-99.343104,100,8.912529
-98.558322,100,8.96518
-98.796733,100,9.017411
-99.190651,100,9.069857
-98.845908,100,9.109461
-98.871655,100,9.149226
-98.990087,100,9.190345
-98.871655,100,9.238801
-99.034371,100,9.282507
-99.158467,100,9.342725
-97.821332,100,10.709269
-99.095895,100,10.791687
-99.216398,100,10.871492
-99.198635,100,10.948744
-99.094872,100,11.022603
-98.929586,100,11.096102
-98.389077,100,11.165464
-98.916669,100,11.25399
-98.962544,100,11.349972
-99.256566,100,11.411828
-99.212282,100,11.470551
-99.243693,100,11.53184
-99.249356,100,11.587934
-99.325051,100,11.643087
-98.994728,100,11.729668
-99.409752,100,11.812235
-98.736482,100,11.885593
-99.112387,100,11.96463
-98.513788,100,12.059565
-98.485721,100,12.133004
-99.143273,100,12.204155
-99.3374,100,12.274138
-99.11548,100,12.343678
-99.387099,100,12.410554
-99.300077,100,12.460347
-99.337924,100,12.511046
-99.29364,100,12.561551
-99.236482,100,12.612489
-99.237256,100,12.66792
-99.614862,100,12.74231
-99.421079,100,12.80971
-98.291594,100,14.335283
-99.151781,100,14.428909
-97.605725,100,14.509486
-98.087687,100,14.587578
-99.374998,100,14.662002
-98.842814,100,14.734734
-98.236837,100,14.809645
-99.231592,100,14.878837
-98.895855,100,14.931478
-98.870881,100,14.983101
-98.915939,100,15.033105
-98.908729,100,15.082553
-98.958677,100,15.131908
-98.866241,100,15.207474
-98.905386,100,15.274904
-97.982901,100,15.339293
-98.087687,100,15.40309
-98.514038,100,15.466056
-97.531576,100,15.529098
-98.904862,100,15.591883
-98.124761,100,15.651909
-98.477737,100,15.712523
-98.993954,100,15.773724
-98.79596,100,15.822215
-99.008624,100,15.870877
-98.94735,100,15.919279
-98.858781,100,15.9741
-98.953013,100,16.023862
-98.854141,100,16.103485
-99.433953,100,16.166925
-98.593636,100,17.854206
-98.850024,100,17.935234
-98.514038,100,18.011563
-98.43989,100,18.090017
-98.551966,100,18.162993
-98.793577,100,18.236353
-99.136836,100,18.305854
-98.25452,100,18.374458
-99.097193,100,18.424289
-99.035145,100,18.474026
-98.979534,100,18.524197
-99.004508,100,18.573966
-98.979534,100,18.622326
-99.421852,100,18.696586
-99.448373,100,18.763858
-99.437046,100,18.828604
-98.564759,100,18.892223
-98.970777,100,18.955361
-97.88378,100,19.018394
-98.6902,100,19.080048
-99.361351,100,19.141399
-99.064235,100,19.206698
-99.244715,100,19.270534
-99.035145,100,19.317814
-98.991634,100,19.365126
-99.104403,100,19.412087
-99.040808,100,19.458868
-99.11084,100,19.506799
-99.298284,100,19.576568
-98.665427,100,19.640227
-99.467684,100,19.700766
-99.329941,100,21.243189
-98.833034,100,21.329966
-98.817067,100,21.411471
-98.217446,100,21.490228
-99.187943,100,21.567791
-98.833807,100,21.649886
-99.420056,100,21.722445
-98.62526,100,21.780516
-98.495501,100,21.837861
-98.514038,100,21.893229
-98.62526,100,21.951621
-98.402816,100,22.007211
-98.106224,100,22.091679
-98.263262,100,22.169464
-99.318614,100,22.24289
-98.662334,100,22.315401
-98.1149,100,22.38344
-98.835604,100,22.453241
-98.407548,100,22.522537
-97.679873,100,22.599265
-98.092485,100,22.672088
-98.662334,100,22.746316
-98.62526,100,22.801153
-98.551112,100,22.853816
-98.514038,100,22.906229
-98.643797,100,22.957859
-98.495501,100,23.010026
-99.014288,100,23.088768
-98.236837,100,23.161739
-97.587188,100,23.229475
-98.972324,100,24.746086
-98.958926,100,24.831296
-98.016431,100,24.912009
-97.69841,100,24.992004
-98.050613,100,25.066721
-98.285612,100,25.141434
-97.809632,100,25.214248
-97.38328,100,25.26845
-97.754021,100,25.322079
-97.38328,100,25.376295
-97.38328,100,25.42909
-97.38328,100,25.479665
-98.180372,100,25.567233
-98.032076,100,25.637551
-99.431816,100,25.706401
-98.588186,100,25.775252
-98.870908,100,25.842484
-98.917486,100,25.911917
-97.797865,100,25.981179
-97.902317,100,26.055766
-98.407548,100,26.12801
-99.175208,100,26.199227
-97.38328,100,26.252492
-97.401817,100,26.306104
-97.38328,100,26.359077
-97.401817,100,26.414266
-97.38328,100,26.467578
-99.041619,100,26.55334
-98.160849,100,26.62974
-97.919802,100,26.707105
-98.25452,100,26.780318
-97.847626,100,28.418779
-98.580726,100,28.515364
-99.12783,100,28.606337
-97.531576,100,28.693707
-98.62526,100,28.776492
-97.78715,100,28.858479
-97.38328,100,28.91778
-97.38328,100,28.97324
-97.38328,100,29.031225
-97.38328,100,29.090553
-97.38328,100,29.153277
-98.681725,100,29.291054
-99.724464,100,29.399883
-97.627154,100,29.493224
-98.188062,100,29.5963
-97.624262,100,29.694535
-98.836377,100,29.79821
-97.675928,100,29.913445
-98.530471,100,30.019999
-99.001706,100,30.112752
-97.716947,100,30.201894
-97.38328,100,30.268563
-97.38328,100,30.335361
-97.38328,100,30.39994
-97.38328,100,30.460981
